country,country_code,year,pct_population_buying_online
Austria,AT,2002,7.51
Austria,AT,2003,7.75
Austria,AT,2004,12.62
Austria,AT,2005,18.62
Austria,AT,2006,23.28
Austria,AT,2007,26.25
Austria,AT,2008,27.68
Austria,AT,2009,31.61
Austria,AT,2010,31.71
Austria,AT,2011,35.21
Austria,AT,2012,38.81
Austria,AT,2013,45.75
Austria,AT,2014,43.39
Austria,AT,2015,46.35
Austria,AT,2016,47.67
Austria,AT,2017,53.17
Austria,AT,2018,52.67
Austria,AT,2019,54.43
Austria,AT,2020,55.58
Austria,AT,2021,54.16
Austria,AT,2022,56.82
Austria,AT,2023,62.41
Austria,AT,2024,64.07
Austria,AT,2025,65.76
Belgium,BE,2005,11.41
Belgium,BE,2006,13.87
Belgium,BE,2007,14.61
Belgium,BE,2008,13.65
Belgium,BE,2009,24.68
Belgium,BE,2010,26.89
Belgium,BE,2011,31.05
Belgium,BE,2012,32.94
Belgium,BE,2013,35.75
Belgium,BE,2014,40.92
Belgium,BE,2015,42.27
Belgium,BE,2016,46.35
Belgium,BE,2017,48.55
Belgium,BE,2018,49.02
Belgium,BE,2019,54.61
Belgium,BE,2020,64.64
Belgium,BE,2021,66.13
Belgium,BE,2022,62.6
Belgium,BE,2023,64.97
Belgium,BE,2024,65.33
Belgium,BE,2025,66.65
Bulgaria,BG,2004,0.54
Bulgaria,BG,2006,1.51
Bulgaria,BG,2007,1.75
Bulgaria,BG,2008,1.67
Bulgaria,BG,2009,3.32
Bulgaria,BG,2010,3.24
Bulgaria,BG,2011,4.56
Bulgaria,BG,2012,5.57
Bulgaria,BG,2013,7.8
Bulgaria,BG,2014,10.03
Bulgaria,BG,2015,11.79
Bulgaria,BG,2016,11.23
Bulgaria,BG,2017,11.27
Bulgaria,BG,2018,12.95
Bulgaria,BG,2019,14.05
Bulgaria,BG,2020,15.61
Bulgaria,BG,2021,19.58
Bulgaria,BG,2022,23.92
Bulgaria,BG,2023,26.94
Bulgaria,BG,2024,33.34
Bulgaria,BG,2025,34.75
Croatia,HR,2007,4.57
Croatia,HR,2008,5.1
Croatia,HR,2009,5.88
Croatia,HR,2010,9.34
Croatia,HR,2011,11.36
Croatia,HR,2012,16.04
Croatia,HR,2013,18.73
Croatia,HR,2014,21.59
Croatia,HR,2015,26.35
Croatia,HR,2016,25.42
Croatia,HR,2017,20.75
Croatia,HR,2018,27.03
Croatia,HR,2019,34.97
Croatia,HR,2020,45.81
Croatia,HR,2021,45.71
Croatia,HR,2022,44.4
Croatia,HR,2023,49.93
Croatia,HR,2024,52.48
Croatia,HR,2025,51.13
Cyprus,CY,2004,2.74
Cyprus,CY,2005,3.9
Cyprus,CY,2006,4.98
Cyprus,CY,2007,7.77
Cyprus,CY,2008,6.82
Cyprus,CY,2009,13.03
Cyprus,CY,2010,14.09
Cyprus,CY,2011,15.7
Cyprus,CY,2012,17.22
Cyprus,CY,2013,19.85
Cyprus,CY,2014,23.06
Cyprus,CY,2015,18.64
Cyprus,CY,2016,22.14
Cyprus,CY,2017,24.43
Cyprus,CY,2018,19.7
Cyprus,CY,2019,31.13
Cyprus,CY,2020,31.11
Cyprus,CY,2021,43.82
Cyprus,CY,2022,33.67
Cyprus,CY,2023,50.57
Cyprus,CY,2024,60.26
Cyprus,CY,2025,58.21
Czechia,CZ,2003,3.4
Czechia,CZ,2004,2.89
Czechia,CZ,2005,2.92
Czechia,CZ,2006,6.88
Czechia,CZ,2007,8.47
Czechia,CZ,2008,13.35
Czechia,CZ,2009,12.17
Czechia,CZ,2010,14.66
Czechia,CZ,2011,16.02
Czechia,CZ,2012,17.74
Czechia,CZ,2013,21.48
Czechia,CZ,2014,25.34
Czechia,CZ,2015,26.07
Czechia,CZ,2016,29.0
Czechia,CZ,2017,34.1
Czechia,CZ,2018,37.36
Czechia,CZ,2019,42.56
Czechia,CZ,2020,58.75
Czechia,CZ,2021,62.74
Czechia,CZ,2022,66.35
Czechia,CZ,2023,69.07
Czechia,CZ,2024,74.38
Czechia,CZ,2025,75.43
Denmark,DK,2002,24.13
Denmark,DK,2003,16.13
Denmark,DK,2004,22.08
Denmark,DK,2005,25.86
Denmark,DK,2006,30.61
Denmark,DK,2007,42.81
Denmark,DK,2008,46.61
Denmark,DK,2009,49.9
Denmark,DK,2010,53.97
Denmark,DK,2011,57.26
Denmark,DK,2012,60.41
Denmark,DK,2013,65.0
Denmark,DK,2014,66.4
Denmark,DK,2015,67.34
Denmark,DK,2016,71.12
Denmark,DK,2017,68.82
Denmark,DK,2018,73.04
Denmark,DK,2019,73.89
Denmark,DK,2020,79.36
Denmark,DK,2021,82.48
Denmark,DK,2022,77.85
Denmark,DK,2023,79.78
Denmark,DK,2024,81.79
Denmark,DK,2025,81.93
Estonia,EE,2004,4.13
Estonia,EE,2005,3.95
Estonia,EE,2006,4.45
Estonia,EE,2007,6.14
Estonia,EE,2008,7.07
Estonia,EE,2009,12.0
Estonia,EE,2010,13.26
Estonia,EE,2011,15.56
Estonia,EE,2012,16.64
Estonia,EE,2013,16.31
Estonia,EE,2014,36.93
Estonia,EE,2015,45.84
Estonia,EE,2016,45.03
Estonia,EE,2017,46.15
Estonia,EE,2018,50.6
Estonia,EE,2019,56.3
Estonia,EE,2020,56.53
Estonia,EE,2021,61.72
Estonia,EE,2022,59.11
Estonia,EE,2023,62.04
Estonia,EE,2024,61.99
Estonia,EE,2025,66.78
Finland,FI,2002,10.95
Finland,FI,2003,13.51
Finland,FI,2004,24.03
Finland,FI,2005,25.06
Finland,FI,2006,28.9
Finland,FI,2007,32.51
Finland,FI,2008,33.15
Finland,FI,2009,36.81
Finland,FI,2010,41.38
Finland,FI,2011,45.4
Finland,FI,2012,47.19
Finland,FI,2013,48.61
Finland,FI,2014,52.77
Finland,FI,2015,49.27
Finland,FI,2016,47.9
Finland,FI,2017,57.51
Finland,FI,2018,51.2
Finland,FI,2019,55.23
Finland,FI,2020,59.66
Finland,FI,2021,61.96
Finland,FI,2022,63.47
Finland,FI,2023,64.39
Finland,FI,2024,64.47
Finland,FI,2025,68.08
France,FR,2006,18.52
France,FR,2007,25.28
France,FR,2008,27.74
France,FR,2009,32.28
France,FR,2010,40.29
France,FR,2011,40.13
France,FR,2012,42.37
France,FR,2013,44.28
France,FR,2014,48.75
France,FR,2015,49.43
France,FR,2016,52.27
France,FR,2017,53.93
France,FR,2018,55.33
France,FR,2019,57.96
France,FR,2021,65.6
France,FR,2022,63.48
France,FR,2023,65.78
France,FR,2024,69.31
France,FR,2025,70.31
Germany,DE,2002,17.4
Germany,DE,2003,24.04
Germany,DE,2004,28.69
Germany,DE,2005,32.22
Germany,DE,2006,38.03
Germany,DE,2007,40.89
Germany,DE,2008,42.27
Germany,DE,2009,45.18
Germany,DE,2010,48.32
Germany,DE,2011,53.64
Germany,DE,2012,55.45
Germany,DE,2013,59.77
Germany,DE,2014,61.35
Germany,DE,2015,63.84
Germany,DE,2016,64.4
Germany,DE,2017,66.3
Germany,DE,2018,67.85
Germany,DE,2019,71.01
Germany,DE,2020,75.03
Germany,DE,2021,69.0
Germany,DE,2022,66.23
Germany,DE,2023,67.52
Germany,DE,2024,66.76
Germany,DE,2025,70.41
Greece,EL,2002,0.68
Greece,EL,2003,0.85
Greece,EL,2004,0.84
Greece,EL,2005,1.8
Greece,EL,2006,3.1
Greece,EL,2007,4.98
Greece,EL,2008,6.06
Greece,EL,2009,7.57
Greece,EL,2010,8.74
Greece,EL,2011,13.03
Greece,EL,2012,15.59
Greece,EL,2013,17.18
Greece,EL,2014,19.81
Greece,EL,2015,23.69
Greece,EL,2016,23.44
Greece,EL,2017,26.11
Greece,EL,2018,30.13
Greece,EL,2019,32.43
Greece,EL,2020,38.28
Greece,EL,2021,46.76
Greece,EL,2022,45.8
Greece,EL,2023,48.3
Greece,EL,2024,54.17
Greece,EL,2025,62.85
Hungary,HU,2004,2.36
Hungary,HU,2005,5.34
Hungary,HU,2006,4.72
Hungary,HU,2007,6.89
Hungary,HU,2008,7.74
Hungary,HU,2009,8.75
Hungary,HU,2010,10.23
Hungary,HU,2011,12.49
Hungary,HU,2012,14.74
Hungary,HU,2013,17.21
Hungary,HU,2014,20.16
Hungary,HU,2015,23.05
Hungary,HU,2016,26.57
Hungary,HU,2017,26.17
Hungary,HU,2018,28.75
Hungary,HU,2019,35.01
Hungary,HU,2020,49.27
Hungary,HU,2021,57.62
Hungary,HU,2022,60.75
Hungary,HU,2023,58.98
Hungary,HU,2024,61.73
Hungary,HU,2025,54.77
Ireland,IE,2003,5.41
Ireland,IE,2004,10.45
Ireland,IE,2005,14.46
Ireland,IE,2006,21.34
Ireland,IE,2007,25.88
Ireland,IE,2008,29.55
Ireland,IE,2009,28.94
Ireland,IE,2010,27.86
Ireland,IE,2011,33.96
Ireland,IE,2012,35.27
Ireland,IE,2013,36.57
Ireland,IE,2014,43.19
Ireland,IE,2015,43.75
Ireland,IE,2016,41.35
Ireland,IE,2017,44.38
Ireland,IE,2018,52.06
Ireland,IE,2019,59.19
Ireland,IE,2020,64.05
Ireland,IE,2021,78.82
