country,country_code,year,gdp_eur_millions
Austria,AT,1995,183629.2
Austria,AT,1996,185944.9
Austria,AT,1997,186913.0
Austria,AT,1998,193947.0
Austria,AT,1999,203064.9
Austria,AT,2000,212406.8
Austria,AT,2001,219373.3
Austria,AT,2002,225087.9
Austria,AT,2003,230541.9
Austria,AT,2004,240541.7
Austria,AT,2005,252354.9
Austria,AT,2006,265933.7
Austria,AT,2007,282208.2
Austria,AT,2008,291846.2
Austria,AT,2009,286274.1
Austria,AT,2010,294050.6
Austria,AT,2011,308167.0
Austria,AT,2012,316589.4
Austria,AT,2013,321191.7
Austria,AT,2014,330113.5
Austria,AT,2015,342083.5
Austria,AT,2016,355665.6
Austria,AT,2017,367294.9
Austria,AT,2018,383234.3
Austria,AT,2019,395706.8
Austria,AT,2020,380317.9
Austria,AT,2021,406231.5
Austria,AT,2022,449382.2
Austria,AT,2023,477837.3
Austria,AT,2024,494087.6
Austria,AT,2025,512813.0
Belgium,BE,1995,220251.5
Belgium,BE,1996,219965.3
Belgium,BE,1997,223032.7
Belgium,BE,1998,231015.7
Belgium,BE,1999,242307.6
Belgium,BE,2000,256376.4
Belgium,BE,2001,264334.9
Belgium,BE,2002,273255.9
Belgium,BE,2003,281200.2
Belgium,BE,2004,296819.7
Belgium,BE,2005,310037.6
Belgium,BE,2006,325151.5
Belgium,BE,2007,343618.9
Belgium,BE,2008,351743.1
Belgium,BE,2009,347734.9
Belgium,BE,2010,363242.4
Belgium,BE,2011,378745.4
Belgium,BE,2012,387934.9
Belgium,BE,2013,394616.3
Belgium,BE,2014,404958.3
Belgium,BE,2015,415538.0
Belgium,BE,2016,428467.1
Belgium,BE,2017,443407.2
Belgium,BE,2018,459491.8
Belgium,BE,2019,479444.9
Belgium,BE,2020,463750.9
Belgium,BE,2021,506047.2
Belgium,BE,2022,561309.1
Belgium,BE,2023,602376.3
Belgium,BE,2024,620271.8
Belgium,BE,2025,641892.9
Bulgaria,BG,1995,14518.4
Bulgaria,BG,1996,9827.9
Bulgaria,BG,1997,10064.7
Bulgaria,BG,1998,13437.4
Bulgaria,BG,1999,12804.2
Bulgaria,BG,2000,14440.0
Bulgaria,BG,2001,15905.3
Bulgaria,BG,2002,17478.3
Bulgaria,BG,2003,18798.3
Bulgaria,BG,2004,21093.2
Bulgaria,BG,2005,24039.9
Bulgaria,BG,2006,27409.6
Bulgaria,BG,2007,32464.2
Bulgaria,BG,2008,37246.1
Bulgaria,BG,2009,37417.1
Bulgaria,BG,2010,38289.4
Bulgaria,BG,2011,41479.2
Bulgaria,BG,2012,42254.6
Bulgaria,BG,2013,42055.5
Bulgaria,BG,2014,43024.0
Bulgaria,BG,2015,45797.1
Bulgaria,BG,2016,48751.4
Bulgaria,BG,2017,52501.0
Bulgaria,BG,2018,55999.7
Bulgaria,BG,2019,61194.4
Bulgaria,BG,2020,61855.6
Bulgaria,BG,2021,71343.9
Bulgaria,BG,2022,86078.2
Bulgaria,BG,2023,94525.1
Bulgaria,BG,2024,104767.2
Bulgaria,BG,2025,116018.3
Croatia,HR,1995,17520.1
Croatia,HR,1996,19176.8
Croatia,HR,1997,21280.4
Croatia,HR,1998,22936.1
Croatia,HR,1999,22188.9
Croatia,HR,2000,23631.3
Croatia,HR,2001,25936.5
Croatia,HR,2002,28760.9
Croatia,HR,2003,31016.3
Croatia,HR,2004,33802.7
Croatia,HR,2005,36834.9
Croatia,HR,2006,40621.0
Croatia,HR,2007,44423.0
Croatia,HR,2008,48556.5
Croatia,HR,2009,45861.3
Croatia,HR,2010,45983.8
Croatia,HR,2011,45758.9
Croatia,HR,2012,44867.7
Croatia,HR,2013,44799.3
Croatia,HR,2014,44280.7
Croatia,HR,2015,45487.5
Croatia,HR,2016,47573.5
Croatia,HR,2017,50204.3
Croatia,HR,2018,53035.3
Croatia,HR,2019,55767.8
Croatia,HR,2020,50717.8
Croatia,HR,2021,58390.4
Croatia,HR,2022,67609.4
Croatia,HR,2023,79186.3
Croatia,HR,2024,85905.2
Croatia,HR,2025,92670.7
Cyprus,CY,1995,7596.0
Cyprus,CY,1996,7890.1
Cyprus,CY,1997,8414.3
Cyprus,CY,1998,9152.6
Cyprus,CY,1999,9839.7
Cyprus,CY,2000,10804.6
Cyprus,CY,2001,11602.9
Cyprus,CY,2002,12083.0
Cyprus,CY,2003,12871.3
Cyprus,CY,2004,13938.0
Cyprus,CY,2005,15039.3
Cyprus,CY,2006,16263.8
Cyprus,CY,2007,17591.0
Cyprus,CY,2008,19009.5
Cyprus,CY,2009,18675.5
Cyprus,CY,2010,19461.1
Cyprus,CY,2011,19858.1
Cyprus,CY,2012,19495.4
Cyprus,CY,2013,18040.3
Cyprus,CY,2014,17482.8
Cyprus,CY,2015,17944.2
Cyprus,CY,2016,19013.8
Cyprus,CY,2017,20312.4
Cyprus,CY,2018,21807.8
Cyprus,CY,2019,23400.9
Cyprus,CY,2020,22373.6
Cyprus,CY,2021,25679.9
Cyprus,CY,2022,29645.4
Cyprus,CY,2023,32439.2
Cyprus,CY,2024,34770.2
Cyprus,CY,2025,36321.5
Czechia,CZ,1995,46333.6
Czechia,CZ,1996,53416.0
Czechia,CZ,1997,55174.6
Czechia,CZ,1998,60164.9
Czechia,CZ,1999,61470.4
Czechia,CZ,2000,67409.2
Czechia,CZ,2001,76070.6
Czechia,CZ,2002,87795.9
Czechia,CZ,2003,88965.6
Czechia,CZ,2004,96822.8
Czechia,CZ,2005,110418.8
Czechia,CZ,2006,124559.0
Czechia,CZ,2007,138897.5
Czechia,CZ,2008,161852.2
Czechia,CZ,2009,149253.1
Czechia,CZ,2010,159506.1
Czechia,CZ,2011,166545.5
Czechia,CZ,2012,163759.4
Czechia,CZ,2013,160470.0
Czechia,CZ,2014,158991.5
Czechia,CZ,2015,170527.3
Czechia,CZ,2016,179145.9
Czechia,CZ,2017,196738.7
Czechia,CZ,2018,213505.4
Czechia,CZ,2019,229406.7
Czechia,CZ,2020,220310.6
Czechia,CZ,2021,246012.3
Czechia,CZ,2022,286976.8
Czechia,CZ,2023,319099.1
Czechia,CZ,2024,320786.5
Czechia,CZ,2025,346583.4
Denmark,DK,1995,141320.3
Denmark,DK,1996,147724.2
Denmark,DK,1997,152890.7
Denmark,DK,1998,158043.8
Denmark,DK,1999,166899.4
Denmark,DK,2000,177893.5
Denmark,DK,2001,184146.3
Denmark,DK,2002,189957.5
Denmark,DK,2003,193641.7
Denmark,DK,2004,202915.9
Denmark,DK,2005,213381.8
Denmark,DK,2006,225930.8
Denmark,DK,2007,233960.3
Denmark,DK,2008,242720.1
Denmark,DK,2009,232270.0
Denmark,DK,2010,243429.9
Denmark,DK,2011,248105.0
Denmark,DK,2012,254300.7
Denmark,DK,2013,259530.9
Denmark,DK,2014,265635.7
Denmark,DK,2015,272193.0
Denmark,DK,2016,282265.1
Denmark,DK,2017,294355.0
Denmark,DK,2018,301017.3
Denmark,DK,2019,308546.2
Denmark,DK,2020,312118.3
Denmark,DK,2021,343318.6
Denmark,DK,2022,380567.4
Denmark,DK,2023,374173.6
Denmark,DK,2024,392400.7
Denmark,DK,2025,410372.0
Estonia,EE,1995,2988.1
Estonia,EE,1996,3770.0
Estonia,EE,1997,4553.7
Estonia,EE,1998,5067.5
Estonia,EE,1999,5406.9
Estonia,EE,2000,6171.6
Estonia,EE,2001,6982.1
Estonia,EE,2002,7824.9
Estonia,EE,2003,8746.7
Estonia,EE,2004,9779.6
Estonia,EE,2005,11345.4
Estonia,EE,2006,13571.2
Estonia,EE,2007,16402.2
Estonia,EE,2008,16618.9
Estonia,EE,2009,14132.5
Estonia,EE,2010,14741.8
Estonia,EE,2011,16741.9
Estonia,EE,2012,18086.6
Estonia,EE,2013,19163.2
Estonia,EE,2014,20365.6
Estonia,EE,2015,21010.9
Estonia,EE,2016,22189.0
Estonia,EE,2017,24316.1
Estonia,EE,2018,26438.5
Estonia,EE,2019,28472.1
Estonia,EE,2020,27859.3
Estonia,EE,2021,31453.3
Estonia,EE,2022,36300.9
Estonia,EE,2023,38353.4
Estonia,EE,2024,39847.7
Estonia,EE,2025,41620.8
Finland,FI,1980,38693.8
Finland,FI,1981,47215.0
Finland,FI,1982,54051.0
Finland,FI,1983,57359.4
Finland,FI,1984,67262.1
Finland,FI,1985,73748.1
Finland,FI,1986,74834.1
Finland,FI,1987,79462.3
Finland,FI,1988,92259.3
Finland,FI,1989,108108.0
Finland,FI,1990,111401.0
Finland,FI,1991,103308.7
Finland,FI,1992,86811.0
Finland,FI,1993,76014.5
Finland,FI,1994,87058.1
Finland,FI,1995,102544.7
Finland,FI,1996,104034.1
Finland,FI,1997,111990.0
Finland,FI,1998,119690.6
Finland,FI,1999,126888.0
Finland,FI,2000,136386.0
Finland,FI,2001,144613.0
Finland,FI,2002,148440.0
Finland,FI,2003,151714.0
Finland,FI,2004,158741.0
Finland,FI,2005,164666.0
Finland,FI,2006,172861.0
Finland,FI,2007,187059.0
Finland,FI,2008,194253.0
Finland,FI,2009,181735.0
Finland,FI,2010,188147.0
Finland,FI,2011,197655.0
