country,country_code,year,ict_specialists_pct
Austria,AT,2004,2.9
Austria,AT,2005,3.1
Austria,AT,2006,3.3
Austria,AT,2007,3.3
Austria,AT,2008,3.3
Austria,AT,2009,3.5
Austria,AT,2010,3.5
Austria,AT,2011,3.6
Austria,AT,2012,3.6
Austria,AT,2013,3.7
Austria,AT,2014,3.6
Austria,AT,2015,4.0
Austria,AT,2016,4.2
Austria,AT,2017,4.4
Austria,AT,2018,4.5
Austria,AT,2019,4.3
Austria,AT,2020,4.5
Austria,AT,2021,4.5
Austria,AT,2022,5.0
Austria,AT,2023,5.3
Austria,AT,2024,5.3
Belgium,BE,2004,3.4
Belgium,BE,2005,3.5
Belgium,BE,2006,3.7
Belgium,BE,2007,4.1
Belgium,BE,2008,3.9
Belgium,BE,2009,4.1
Belgium,BE,2010,4.4
Belgium,BE,2011,4.0
Belgium,BE,2012,4.3
Belgium,BE,2013,4.2
Belgium,BE,2014,4.2
Belgium,BE,2015,4.2
Belgium,BE,2016,4.2
Belgium,BE,2017,4.9
Belgium,BE,2018,5.2
Belgium,BE,2019,5.0
Belgium,BE,2020,5.0
Belgium,BE,2021,5.6
Belgium,BE,2022,5.6
Belgium,BE,2023,5.4
Belgium,BE,2024,5.7
Bulgaria,BG,2004,2.2
Bulgaria,BG,2005,2.2
Bulgaria,BG,2006,2.4
Bulgaria,BG,2007,2.4
Bulgaria,BG,2008,2.4
Bulgaria,BG,2009,2.4
Bulgaria,BG,2010,2.5
Bulgaria,BG,2011,2.2
Bulgaria,BG,2012,2.5
Bulgaria,BG,2013,2.5
Bulgaria,BG,2014,2.5
Bulgaria,BG,2015,2.9
Bulgaria,BG,2016,3.0
Bulgaria,BG,2017,3.1
Bulgaria,BG,2018,3.3
Bulgaria,BG,2019,3.0
Bulgaria,BG,2020,3.3
Bulgaria,BG,2021,3.5
Bulgaria,BG,2022,3.8
Bulgaria,BG,2023,4.3
Bulgaria,BG,2024,4.6
Croatia,HR,2004,1.6
Croatia,HR,2005,1.9
Croatia,HR,2006,2.0
Croatia,HR,2007,2.1
Croatia,HR,2008,2.3
Croatia,HR,2009,2.3
Croatia,HR,2010,2.2
Croatia,HR,2011,2.4
Croatia,HR,2012,2.5
Croatia,HR,2013,2.6
Croatia,HR,2014,2.8
Croatia,HR,2015,2.8
Croatia,HR,2016,3.4
Croatia,HR,2017,3.3
Croatia,HR,2018,3.4
Croatia,HR,2019,3.3
Croatia,HR,2020,3.7
Croatia,HR,2021,3.7
Croatia,HR,2022,3.8
Croatia,HR,2023,4.3
Croatia,HR,2024,5.0
Cyprus,CY,2004,2.2
Cyprus,CY,2005,2.3
Cyprus,CY,2006,2.3
Cyprus,CY,2007,2.6
Cyprus,CY,2008,2.6
Cyprus,CY,2009,2.4
Cyprus,CY,2010,2.5
Cyprus,CY,2011,2.5
Cyprus,CY,2012,2.6
Cyprus,CY,2013,2.8
Cyprus,CY,2014,2.8
Cyprus,CY,2015,2.7
Cyprus,CY,2016,2.7
Cyprus,CY,2017,2.9
Cyprus,CY,2018,3.2
Cyprus,CY,2019,2.7
Cyprus,CY,2020,3.2
Cyprus,CY,2021,3.9
Cyprus,CY,2022,4.4
Cyprus,CY,2023,5.6
Cyprus,CY,2024,5.0
Czechia,CZ,2004,3.4
Czechia,CZ,2005,3.7
Czechia,CZ,2006,3.9
Czechia,CZ,2007,4.3
Czechia,CZ,2008,4.6
Czechia,CZ,2009,4.6
Czechia,CZ,2010,4.6
Czechia,CZ,2011,3.5
Czechia,CZ,2012,3.4
Czechia,CZ,2013,3.7
Czechia,CZ,2014,3.7
Czechia,CZ,2015,3.5
Czechia,CZ,2016,3.7
Czechia,CZ,2017,3.6
Czechia,CZ,2018,4.0
Czechia,CZ,2019,4.0
Czechia,CZ,2020,4.2
Czechia,CZ,2021,4.6
Czechia,CZ,2022,4.5
Czechia,CZ,2023,4.3
Czechia,CZ,2024,4.5
Denmark,DK,2004,4.3
Denmark,DK,2005,4.1
Denmark,DK,2006,4.5
Denmark,DK,2007,4.5
Denmark,DK,2008,4.8
Denmark,DK,2009,4.7
Denmark,DK,2010,4.8
Denmark,DK,2011,4.3
Denmark,DK,2012,4.7
Denmark,DK,2013,4.8
Denmark,DK,2014,4.6
Denmark,DK,2015,4.5
Denmark,DK,2016,4.9
Denmark,DK,2017,5.0
Denmark,DK,2018,4.9
Denmark,DK,2019,5.1
Denmark,DK,2020,5.3
Denmark,DK,2021,5.6
Denmark,DK,2022,5.7
Denmark,DK,2023,5.9
Denmark,DK,2024,5.8
Estonia,EE,2004,3.2
Estonia,EE,2005,2.5
Estonia,EE,2006,2.9
Estonia,EE,2007,3.4
Estonia,EE,2008,3.7
Estonia,EE,2009,3.8
Estonia,EE,2010,4.1
Estonia,EE,2011,3.4
Estonia,EE,2012,3.8
Estonia,EE,2013,4.1
Estonia,EE,2014,3.9
Estonia,EE,2015,4.2
Estonia,EE,2016,5.1
Estonia,EE,2017,5.3
Estonia,EE,2018,5.4
Estonia,EE,2019,5.8
Estonia,EE,2020,6.2
Estonia,EE,2021,6.2
Estonia,EE,2022,6.6
Estonia,EE,2023,6.7
Estonia,EE,2024,7.2
Finland,FI,2004,5.2
Finland,FI,2005,5.4
Finland,FI,2006,5.5
Finland,FI,2007,5.6
Finland,FI,2008,5.5
Finland,FI,2009,5.5
Finland,FI,2010,5.7
Finland,FI,2011,5.7
Finland,FI,2012,6.1
Finland,FI,2013,6.3
Finland,FI,2014,6.3
Finland,FI,2015,6.4
Finland,FI,2016,6.6
Finland,FI,2017,6.7
Finland,FI,2018,6.7
Finland,FI,2019,6.8
Finland,FI,2020,7.6
Finland,FI,2021,7.4
Finland,FI,2022,7.6
Finland,FI,2023,7.6
Finland,FI,2024,7.8
France,FR,2004,4.0
France,FR,2005,4.0
France,FR,2006,4.2
France,FR,2007,3.9
France,FR,2008,3.9
France,FR,2009,4.1
France,FR,2010,4.1
France,FR,2011,2.7
France,FR,2012,2.7
France,FR,2013,3.0
France,FR,2014,3.2
France,FR,2015,3.4
France,FR,2016,3.6
France,FR,2017,3.8
France,FR,2018,3.9
France,FR,2019,4.2
France,FR,2020,4.5
France,FR,2021,4.5
France,FR,2022,4.3
France,FR,2023,4.7
France,FR,2024,4.8
Germany,DE,2004,3.3
Germany,DE,2005,3.6
Germany,DE,2006,3.6
Germany,DE,2007,3.6
Germany,DE,2008,3.6
Germany,DE,2009,3.7
Germany,DE,2010,3.9
Germany,DE,2011,3.1
Germany,DE,2012,3.5
Germany,DE,2013,3.5
Germany,DE,2014,3.6
Germany,DE,2015,3.7
Germany,DE,2016,3.7
Germany,DE,2017,3.8
Germany,DE,2018,3.9
Germany,DE,2019,4.0
Germany,DE,2020,4.7
Germany,DE,2021,4.9
Germany,DE,2022,5.0
Germany,DE,2023,4.9
Germany,DE,2024,5.3
Greece,EL,2004,2.8
Greece,EL,2005,2.8
Greece,EL,2006,2.8
Greece,EL,2007,2.8
Greece,EL,2008,2.8
Greece,EL,2009,2.8
Greece,EL,2010,2.9
Greece,EL,2011,1.8
Greece,EL,2012,1.9
Greece,EL,2013,2.0
Greece,EL,2014,1.7
Greece,EL,2015,1.6
Greece,EL,2016,1.8
Greece,EL,2017,2.0
Greece,EL,2018,2.2
Greece,EL,2019,2.0
Greece,EL,2020,2.0
Greece,EL,2021,2.4
Greece,EL,2022,2.5
Greece,EL,2023,2.4
Greece,EL,2024,2.5
Hungary,HU,2004,4.4
Hungary,HU,2005,4.2
Hungary,HU,2006,4.3
Hungary,HU,2007,4.3
Hungary,HU,2008,4.4
Hungary,HU,2009,4.2
Hungary,HU,2010,4.3
Hungary,HU,2011,2.7
Hungary,HU,2012,3.2
Hungary,HU,2013,3.5
Hungary,HU,2014,3.5
Hungary,HU,2015,3.6
Hungary,HU,2016,3.6
Hungary,HU,2017,3.6
Hungary,HU,2018,3.7
Hungary,HU,2019,3.4
Hungary,HU,2020,3.8
Hungary,HU,2021,3.9
Hungary,HU,2022,4.2
Hungary,HU,2023,4.2
Hungary,HU,2024,4.5
Ireland,IE,2004,3.7
Ireland,IE,2005,3.5
Ireland,IE,2006,3.4
Ireland,IE,2007,3.5
Ireland,IE,2008,3.5
Ireland,IE,2009,3.8
Ireland,IE,2010,4.0
Ireland,IE,2011,4.7
Ireland,IE,2012,4.8
Ireland,IE,2013,4.7
Ireland,IE,2014,4.8
Ireland,IE,2015,4.6
Ireland,IE,2016,4.9
Ireland,IE,2017,5.0
Ireland,IE,2018,4.8
Ireland,IE,2019,4.9
Ireland,IE,2020,5.7
Ireland,IE,2021,6.3
Ireland,IE,2022,6.3
Ireland,IE,2023,6.2
Ireland,IE,2024,6.3
Italy,IT,2004,2.9
Italy,IT,2005,3.0
Italy,IT,2006,3.1
Italy,IT,2007,3.1
Italy,IT,2008,3.1
Italy,IT,2009,3.2
Italy,IT,2010,3.2
Italy,IT,2011,3.0
Italy,IT,2012,3.1
Italy,IT,2013,3.2
Italy,IT,2014,3.3
Italy,IT,2015,3.3
Italy,IT,2016,3.3
Italy,IT,2017,3.4
Italy,IT,2018,3.6
Italy,IT,2019,3.5
Italy,IT,2020,3.6
Italy,IT,2021,3.8
Italy,IT,2022,3.9
Italy,IT,2023,4.1
Italy,IT,2024,4.0
Latvia,LV,2004,2.8
Latvia,LV,2005,3.0
Latvia,LV,2006,2.7
Latvia,LV,2007,2.6
Latvia,LV,2008,2.8
Latvia,LV,2009,2.7
Latvia,LV,2010,2.8
Latvia,LV,2011,2.5
Latvia,LV,2012,2.2
Latvia,LV,2013,2.4
Latvia,LV,2014,2.5
Latvia,LV,2015,2.7
Latvia,LV,2016,2.7
Latvia,LV,2017,2.8
Latvia,LV,2018,2.5
Latvia,LV,2019,3.1
Latvia,LV,2020,3.6
Latvia,LV,2021,3.8
Latvia,LV,2022,4.4
Latvia,LV,2023,4.4
Latvia,LV,2024,4.9
Lithuania,LT,2004,1.8
Lithuania,LT,2005,1.6
Lithuania,LT,2006,1.4
Lithuania,LT,2007,1.7
Lithuania,LT,2008,1.9
Lithuania,LT,2009,1.8
Lithuania,LT,2010,1.8
Lithuania,LT,2011,1.8
Lithuania,LT,2012,1.9
Lithuania,LT,2013,1.8
Lithuania,LT,2014,1.7
Lithuania,LT,2015,2.1
Lithuania,LT,2016,2.5
Lithuania,LT,2017,2.7
Lithuania,LT,2018,2.7
Lithuania,LT,2019,3.1
Lithuania,LT,2020,3.3
Lithuania,LT,2021,3.8
Lithuania,LT,2022,4.4
Lithuania,LT,2023,4.9
Lithuania,LT,2024,5.3
Luxembourg,LU,2004,3.9
Luxembourg,LU,2005,4.2
Luxembourg,LU,2006,3.3
Luxembourg,LU,2007,3.6
Luxembourg,LU,2008,4.8
Luxembourg,LU,2009,4.6
Luxembourg,LU,2010,4.6
Luxembourg,LU,2011,4.3
Luxembourg,LU,2012,5.0
Luxembourg,LU,2013,4.7
Luxembourg,LU,2014,5.1
Luxembourg,LU,2015,5.0
Luxembourg,LU,2016,5.1
Luxembourg,LU,2017,5.2
Luxembourg,LU,2018,5.9
Luxembourg,LU,2019,6.1
Luxembourg,LU,2020,6.3
Luxembourg,LU,2021,6.7
Luxembourg,LU,2022,7.7
Luxembourg,LU,2023,8.0
Luxembourg,LU,2024,8.0
Malta,MT,2004,5.4
Malta,MT,2005,4.8
Malta,MT,2006,4.0
Malta,MT,2007,5.9
Malta,MT,2008,5.5
Malta,MT,2009,4.7
Malta,MT,2010,4.7
Malta,MT,2011,3.4
Malta,MT,2012,3.4
Malta,MT,2013,3.3
Malta,MT,2014,3.6
Malta,MT,2015,3.8
Malta,MT,2016,3.9
Malta,MT,2017,4.3
Malta,MT,2018,4.8
Malta,MT,2019,4.6
Malta,MT,2020,4.4
Malta,MT,2021,4.8
Malta,MT,2022,5.0
Malta,MT,2023,4.7
Malta,MT,2024,5.2
Netherlands,NL,2004,4.1
Netherlands,NL,2005,4.0
Netherlands,NL,2006,3.8
Netherlands,NL,2007,3.7
Netherlands,NL,2008,3.8
Netherlands,NL,2009,3.8
Netherlands,NL,2010,3.9
Netherlands,NL,2011,4.6
Netherlands,NL,2012,4.5
Netherlands,NL,2013,4.7
Netherlands,NL,2014,4.8
Netherlands,NL,2015,5.0
Netherlands,NL,2016,5.1
Netherlands,NL,2017,5.1
Netherlands,NL,2018,5.3
Netherlands,NL,2019,5.6
Netherlands,NL,2020,5.9
Netherlands,NL,2021,6.7
Netherlands,NL,2022,7.2
Netherlands,NL,2023,6.9
Netherlands,NL,2024,7.0
Poland,PL,2004,2.5
Poland,PL,2005,2.6
Poland,PL,2006,2.8
Poland,PL,2007,3.0
Poland,PL,2008,3.0
Poland,PL,2009,3.2
Poland,PL,2010,3.0
Poland,PL,2011,2.3
Poland,PL,2012,2.5
Poland,PL,2013,2.6
Poland,PL,2014,2.6
Poland,PL,2015,2.6
Poland,PL,2016,2.7
Poland,PL,2017,2.8
Poland,PL,2018,3.0
Poland,PL,2019,3.2
Poland,PL,2020,3.5
Poland,PL,2021,3.7
Poland,PL,2022,3.7
Poland,PL,2023,4.3
Poland,PL,2024,4.5
Portugal,PT,2004,2.3
Portugal,PT,2005,2.4
Portugal,PT,2006,2.6
Portugal,PT,2007,2.8
Portugal,PT,2008,2.6
Portugal,PT,2009,2.8
Portugal,PT,2010,2.9
Portugal,PT,2011,2.0
Portugal,PT,2012,2.1
Portugal,PT,2013,2.4
Portugal,PT,2014,3.1
Portugal,PT,2015,2.9
Portugal,PT,2016,3.0
Portugal,PT,2017,2.9
Portugal,PT,2018,3.1
Portugal,PT,2019,3.6
Portugal,PT,2020,4.0
Portugal,PT,2021,4.6
Portugal,PT,2022,4.5
Portugal,PT,2023,4.6
Portugal,PT,2024,5.2
Romania,RO,2005,1.4
Romania,RO,2006,2.0
Romania,RO,2007,2.1
Romania,RO,2008,2.1
Romania,RO,2009,2.1
Romania,RO,2010,1.9
Romania,RO,2011,1.5
Romania,RO,2012,1.6
Romania,RO,2013,1.6
Romania,RO,2014,1.6
Romania,RO,2015,1.9
Romania,RO,2016,2.0
Romania,RO,2017,2.1
Romania,RO,2018,2.2
Romania,RO,2019,2.3
Romania,RO,2020,2.4
Romania,RO,2021,2.6
Romania,RO,2022,2.8
Romania,RO,2023,2.6
Romania,RO,2024,2.8
Slovakia,SK,2004,2.8
Slovakia,SK,2005,3.1
Slovakia,SK,2006,3.5
Slovakia,SK,2007,3.7
Slovakia,SK,2008,3.5
Slovakia,SK,2009,3.5
Slovakia,SK,2010,3.7
Slovakia,SK,2011,2.7
Slovakia,SK,2012,2.5
Slovakia,SK,2013,2.6
Slovakia,SK,2014,2.8
Slovakia,SK,2015,2.8
Slovakia,SK,2016,2.9
Slovakia,SK,2017,2.8
Slovakia,SK,2018,3.2
Slovakia,SK,2019,3.7
Slovakia,SK,2020,4.2
Slovakia,SK,2021,4.3
Slovakia,SK,2022,4.3
Slovakia,SK,2023,4.2
Slovakia,SK,2024,4.6
Slovenia,SI,2004,3.2
Slovenia,SI,2005,3.6
Slovenia,SI,2006,3.7
Slovenia,SI,2007,3.4
Slovenia,SI,2008,3.7
Slovenia,SI,2009,3.8
Slovenia,SI,2010,3.8
Slovenia,SI,2011,3.6
Slovenia,SI,2012,3.3
Slovenia,SI,2013,3.4
Slovenia,SI,2014,3.5
Slovenia,SI,2015,3.6
Slovenia,SI,2016,3.5
Slovenia,SI,2017,3.8
Slovenia,SI,2018,4.0
Slovenia,SI,2019,3.9
