country,country_code,year,rd_spending_pct_gdp
Austria,AT,1995,1.54
Austria,AT,1996,1.59
Austria,AT,1997,1.66
Austria,AT,1998,1.74
Austria,AT,1999,1.85
Austria,AT,2000,1.9
Austria,AT,2001,2.0
Austria,AT,2002,2.08
Austria,AT,2003,2.19
Austria,AT,2004,2.18
Austria,AT,2005,2.39
Austria,AT,2006,2.38
Austria,AT,2007,2.43
Austria,AT,2008,2.59
Austria,AT,2009,2.61
Austria,AT,2010,2.74
Austria,AT,2011,2.69
Austria,AT,2012,2.93
Austria,AT,2013,2.98
Austria,AT,2014,3.11
Austria,AT,2015,3.07
Austria,AT,2016,3.13
Austria,AT,2017,3.07
Austria,AT,2018,3.11
Austria,AT,2019,3.14
Austria,AT,2020,3.21
Austria,AT,2021,3.26
Austria,AT,2022,3.17
Austria,AT,2023,3.22
Austria,AT,2024,3.26
Belgium,BE,1995,1.65
Belgium,BE,1996,1.74
Belgium,BE,1997,1.81
Belgium,BE,1998,1.84
Belgium,BE,1999,1.91
Belgium,BE,2000,1.94
Belgium,BE,2001,2.03
Belgium,BE,2002,1.9
Belgium,BE,2003,1.84
Belgium,BE,2004,1.82
Belgium,BE,2005,1.79
Belgium,BE,2006,1.82
Belgium,BE,2007,1.85
Belgium,BE,2008,1.94
Belgium,BE,2009,1.99
Belgium,BE,2010,2.06
Belgium,BE,2011,2.16
Belgium,BE,2012,2.27
Belgium,BE,2013,2.32
Belgium,BE,2014,2.36
Belgium,BE,2015,2.43
Belgium,BE,2016,2.53
Belgium,BE,2017,2.68
Belgium,BE,2018,2.86
Belgium,BE,2019,3.15
Belgium,BE,2020,3.37
Belgium,BE,2021,3.41
Belgium,BE,2022,3.21
Belgium,BE,2023,3.24
Belgium,BE,2024,3.36
Bulgaria,BG,1995,0.43
Bulgaria,BG,1996,0.42
Bulgaria,BG,1997,0.47
Bulgaria,BG,1998,0.48
Bulgaria,BG,1999,0.54
Bulgaria,BG,2000,0.5
Bulgaria,BG,2001,0.45
Bulgaria,BG,2002,0.46
Bulgaria,BG,2003,0.47
Bulgaria,BG,2004,0.47
Bulgaria,BG,2005,0.44
Bulgaria,BG,2006,0.44
Bulgaria,BG,2007,0.43
Bulgaria,BG,2008,0.45
Bulgaria,BG,2009,0.49
Bulgaria,BG,2010,0.56
Bulgaria,BG,2011,0.53
Bulgaria,BG,2012,0.6
Bulgaria,BG,2013,0.63
Bulgaria,BG,2014,0.79
Bulgaria,BG,2015,0.95
Bulgaria,BG,2016,0.77
Bulgaria,BG,2017,0.74
Bulgaria,BG,2018,0.76
Bulgaria,BG,2019,0.84
Bulgaria,BG,2020,0.85
Bulgaria,BG,2021,0.77
Bulgaria,BG,2022,0.75
Bulgaria,BG,2023,0.79
Bulgaria,BG,2024,0.77
Croatia,HR,2002,0.94
Croatia,HR,2003,0.94
Croatia,HR,2004,1.02
Croatia,HR,2005,0.85
Croatia,HR,2006,0.73
Croatia,HR,2007,0.78
Croatia,HR,2008,0.88
Croatia,HR,2009,0.83
Croatia,HR,2010,0.73
Croatia,HR,2011,0.74
Croatia,HR,2012,0.74
Croatia,HR,2013,0.79
Croatia,HR,2014,0.77
Croatia,HR,2015,0.82
Croatia,HR,2016,0.85
Croatia,HR,2017,0.84
Croatia,HR,2018,0.95
Croatia,HR,2019,1.08
Croatia,HR,2020,1.24
Croatia,HR,2021,1.24
Croatia,HR,2022,1.42
Croatia,HR,2023,1.37
Croatia,HR,2024,1.35
Cyprus,CY,1998,0.2
Cyprus,CY,1999,0.22
Cyprus,CY,2000,0.23
Cyprus,CY,2001,0.24
Cyprus,CY,2002,0.28
Cyprus,CY,2003,0.32
Cyprus,CY,2004,0.34
Cyprus,CY,2005,0.37
Cyprus,CY,2006,0.38
Cyprus,CY,2007,0.4
Cyprus,CY,2008,0.39
Cyprus,CY,2009,0.44
Cyprus,CY,2010,0.44
Cyprus,CY,2011,0.45
Cyprus,CY,2012,0.44
Cyprus,CY,2013,0.48
Cyprus,CY,2014,0.51
Cyprus,CY,2015,0.48
Cyprus,CY,2016,0.52
Cyprus,CY,2017,0.54
Cyprus,CY,2018,0.61
Cyprus,CY,2019,0.7
Cyprus,CY,2020,0.83
Cyprus,CY,2021,0.78
Cyprus,CY,2022,0.7
Cyprus,CY,2023,0.66
Cyprus,CY,2024,0.65
Czechia,CZ,1995,0.87
Czechia,CZ,1996,0.88
Czechia,CZ,1997,0.98
Czechia,CZ,1998,1.05
Czechia,CZ,1999,1.04
Czechia,CZ,2000,1.1
Czechia,CZ,2001,1.09
Czechia,CZ,2002,1.09
Czechia,CZ,2003,1.14
Czechia,CZ,2004,1.14
Czechia,CZ,2005,1.16
Czechia,CZ,2006,1.23
Czechia,CZ,2007,1.3
Czechia,CZ,2008,1.24
Czechia,CZ,2009,1.29
Czechia,CZ,2010,1.31
Czechia,CZ,2011,1.53
Czechia,CZ,2012,1.76
Czechia,CZ,2013,1.87
Czechia,CZ,2014,1.94
Czechia,CZ,2015,1.91
Czechia,CZ,2016,1.65
Czechia,CZ,2017,1.75
Czechia,CZ,2018,1.88
Czechia,CZ,2019,1.9
Czechia,CZ,2020,1.95
Czechia,CZ,2021,1.93
Czechia,CZ,2022,1.89
Czechia,CZ,2023,1.82
Czechia,CZ,2024,1.82
Denmark,DK,1981,1.02
Denmark,DK,1982,1.06
Denmark,DK,1983,1.11
Denmark,DK,1984,1.13
Denmark,DK,1985,1.16
Denmark,DK,1986,1.24
